,food_name
0,porkbharta
1,chak-haokheer
2,galho
3,aloogobi
4,alootikki
5,aloomatar
6,aloomethi
7,alooshimlamirch
8,amritiwithrabdi
9,amritsarifish
10,amritsarikulcha
11,baati
12,bhatura
13,bhindimasala
14,biryani
15,butterchicken
16,chaat
17,chanamasala
18,chapati
19,chickenrazala
20,chickentikka
21,chickentikkamasala
22,cholebhature
23,daalbaatichurma
24,daalpuri
25,dalmakhani
26,dalfara
27,dal
28,dalfrywithtadka
29,dumaloo
30,poha
31,fara
32,firni
33,frenchbeanaloo
34,gajarkahalwa
35,gajarmataraloo
36,gobhimatar
37,imarti
38,harimutterkanimona
39,jalebi
40,jaleba
41,kachori
42,kadaipaneer
43,kadhipakoda
44,karelabharta
45,kathameethapetha/halwakadoo
46,kheer
47,khichdi
48,kofta
49,kulfifalooda
50,laukikekofte
51,laukikisubji
52,littichokha
53,"makkidiroti,sarsondasaag"
54,mathurakepede
55,"methisaag,chaulaisaab"
56,misiroti
57,mixedvegetable
58,moongdalkahalwa
59,murghmusallam
60,mushroomdopyaza
61,mushroommatar
62,naan
63,navrattankorma
64,pakhala
65,palakpaneer
66,paneerbuttermasala
67,paneertikkamasala
68,panipuri
69,panjeeri
70,papad
71,paratha
72,pattor
73,phirni
74,pindichana
75,pinni
76,rajmachaval
77,rajma
78,ramatorisubji
79,rongi
80,samosa
81,samose
82,sattukiroti
83,shahipaneer
84,shahitukra
85,singhadahalwa
86,soojihalwa
87,sweetpethas/kesarpetha/pistapetha
88,vegetablejalfrezi
89,tandoorichicken
90,tandoorifishtikka
91,attu
92,avial
93,halwa
94,biryani
95,bisibelebath
96,bonda
97,chettinaduchicken
98,chicken65
99,currivepillaisadam
100,dibbarotti
101,dosa
102,doublekameetha
103,ennaikathirikkai
104,golibajje
105,idiappam
106,idli
107,indianomelette
108,kaarakozhambu
109,kanji
110,keeraikootu
111,keeraimasiyal
112,keeraiporiyal
113,keeraisadam
114,kerala_beef_fry
115,koottu
116,korirotti
117,koskootu
118,koshambri
119,kothamalisadam
120,kuzhakkattai
121,kuzhambu
122,masaladosa
123,nanduomelette
124,obbattu
125,olan
126,pachadi
127,paniyaram
128,papadum
129,paravannam
130,parotta
131,paruppusadam
132,payasam
133,pesarattu
134,pongal
135,poriyal
136,pulisadam
137,puttu
138,ragimudhe
139,rasam
140,sajjige
141,sakkarapongal
142,sambar
143,sandige
144,sevai
145,sevailunch
146,"thayirsadam,mosaranna"
147,theeyal
148,thengaisadam
149,uttapam
150,vada
151,varuval
152,wheatupma
153,"yeluminchamsadam,chitranna"
154,amti
155,zunkaorpitla
156,kolim/jawla
157,saath
158,naralachivadi/khobryachivadi/coconutvadi
159,bajrinorotlo
160,modak
161,barfi
162,basundi
163,bhakri
164,karanji
165,bombilfry
166,chaat
167,chakri
168,chevdo
169,cholafali
170,chorafali
171,coprapaak
172,daaldhokli
173,dabeli
174,dahivada
175,dalithoy
176,dhokla
177,doodhpak
178,dudhinohalwo
179,dumaaloo
180,pohe
181,gajarhalwo
182,gattacurry
183,ghari
184,ghooghra
185,gudpapdi
186,gulabjamun
187,halvasan
188,handwo
189,gur
190,jalebi
191,jeeraaloo
192,juvarnorotlo
193,kansar
194,kerinoras
195,khakhra
196,khandvi
197,kombdivade
198,koshimbir
199,laapsi
200,laddu
201,locha
202,malpua
203,methinagota
204,modak
205,mohanthal
206,muthiya
207,oondees
208,panipuri
209,patra
210,pavbhaji
211,penda
212,pooran-poli
213,puri
214,puribhaji
215,rasyamuthia
216,sabudanakhichadi
217,sevkhamani
218,sevtameta
219,shakarpara
220,namakpara
221,shankarpali
222,shiro
223,shrikhand
224,sohanpapdi
225,soonvali
226,sukhdi
227,surnoli
228,sutarfeni
229,thalipeeth
230,undhiyu
231,upmaa
232,vadapav
233,vegkolhapuri
234,vindaloo
235,ghebarorghevar
236,lilvakachori
237,maghaz
238,undhiyu
239,magdhokli
240,khichu
241,thepla
242,farsipuri
243,khaman
244,turiyapatravatanasabji
245,mohanthaal
246,churmaladoo
247,cheeradoi
248,dhuppitha
249,gheelapitha
250,hurum
251,khar
252,kumolsawul
253,loskora
254,luchi
255,malpua/malpoa
256,momo
257,murinaaru
258,panitenga
259,sungapitha
260,alupitika
261,masortenga
262,bengenapitika
263,bilahimaas
264,blackrice
265,borasawul
266,brownrice
267,chhenagaja
268,chhenapoda
269,chingrimalaicurry
270,dal
271,goja
272,handoguri
273,haqmaas
274,horiohmaas
275,ilishorchingribhape
276,kabiraji
277,kharoli
278,khorisa
279,koldilchicken
280,koldilduck
281,konirdom
282,laihaqmaas
283,litti
284,maasortenga
285,machherjhol
286,masorkoni
287,masorpetu
288,mishtichholardal
289,mishtidoi
290,outengamaas
291,pakhala
292,bhaji
293,panipitha
294,pantua
295,payokh
296,peda
297,prawnmalaicurry
298,redrice
299,rice
300,rosgulla
301,sabzi
302,shondesh
303,shukto
304,sungapork
305,tengadoi
306,tilpitha
